bmrb_id,split,pdb_id,n_processed_rows,n_shift_lists,n_lists_with_hn_pairs,exact_complete_list_numbers,lists_with_any_exact_matches,n_union_matched_rows,n_conflicting_hn_keys,provenance_status,provenance_flag,star_file
4173,train,1BM6,151,1,1,1,1,151,0,single_list_exact,False,/content/drive/MyDrive/nmr_hsqc_predictor_v13/data/raw/bmrb/bmr4173_3.str
4177,train,1BO0,71,1,1,1,1,71,0,single_list_exact,False,/content/drive/MyDrive/nmr_hsqc_predictor_v13/data/raw/bmrb/bmr4177_3.str
4184,train,1EH2,84,1,1,1,1,84,0,single_list_exact,False,/content/drive/MyDrive/nmr_hsqc_predictor_v13/data/raw/bmrb/bmr4184_3.str
4186,val,1BLR,118,1,1,1,1,118,0,single_list_exact,False,/content/drive/MyDrive/nmr_hsqc_predictor_v13/data/raw/bmrb/bmr4186_3.str
4188,test,1BCI,115,1,1,1,1,115,0,single_list_exact,False,/content/drive/MyDrive/nmr_hsqc_predictor_v13/data/raw/bmrb/bmr4188_3.str
4197,train,2CPS,48,1,1,1,1,48,0,single_list_exact,False,/content/drive/MyDrive/nmr_hsqc_predictor_v13/data/raw/bmrb/bmr4197_3.str
4198,train,1BR0,118,1,1,1,1,118,0,single_list_exact,False,/content/drive/MyDrive/nmr_hsqc_predictor_v13/data/raw/bmrb/bmr4198_3.str
4199,train,3NLA,65,1,1,1,1,65,0,single_list_exact,False,/content/drive/MyDrive/nmr_hsqc_predictor_v13/data/raw/bmrb/bmr4199_3.str
4202,train,1BA9,139,1,1,1,1,139,0,single_list_exact,False,/content/drive/MyDrive/nmr_hsqc_predictor_v13/data/raw/bmrb/bmr4202_3.str
4206,train,1MFN,165,1,1,1,1,165,0,single_list_exact,False,/content/drive/MyDrive/nmr_hsqc_predictor_v13/data/raw/bmrb/bmr4206_3.str
4207,train,2ORC,68,1,1,1,1,68,0,single_list_exact,False,/content/drive/MyDrive/nmr_hsqc_predictor_v13/data/raw/bmrb/bmr4207_3.str
4209,train,2CPB,47,1,1,1,1,47,0,single_list_exact,False,/content/drive/MyDrive/nmr_hsqc_predictor_v13/data/raw/bmrb/bmr4209_3.str
4214,train,2TMP,116,1,1,1,1,116,0,single_list_exact,False,/content/drive/MyDrive/nmr_hsqc_predictor_v13/data/raw/bmrb/bmr4214_3.str
4215,train,1SSN,123,1,1,1,1,123,0,single_list_exact,False,/content/drive/MyDrive/nmr_hsqc_predictor_v13/data/raw/bmrb/bmr4215_3.str
4216,train,1BHI,32,1,1,1,1,32,0,single_list_exact,False,/content/drive/MyDrive/nmr_hsqc_predictor_v13/data/raw/bmrb/bmr4216_3.str
4217,val,1BHU,93,1,1,1,1,93,0,single_list_exact,False,/content/drive/MyDrive/nmr_hsqc_predictor_v13/data/raw/bmrb/bmr4217_3.str
4222,train,1MNL,86,1,1,1,1,86,0,single_list_exact,False,/content/drive/MyDrive/nmr_hsqc_predictor_v13/data/raw/bmrb/bmr4222_3.str
4223,test,1TBA,64,1,1,1,1,64,0,single_list_exact,False,/content/drive/MyDrive/nmr_hsqc_predictor_v13/data/raw/bmrb/bmr4223_3.str
4224,train,1MYO,109,1,1,1,1,109,0,single_list_exact,False,/content/drive/MyDrive/nmr_hsqc_predictor_v13/data/raw/bmrb/bmr4224_3.str
4225,val,3GRX,77,1,1,1,1,77,0,single_list_exact,False,/content/drive/MyDrive/nmr_hsqc_predictor_v13/data/raw/bmrb/bmr4225_3.str
4227,test,1BQZ,74,1,1,1,1,74,0,single_list_exact,False,/content/drive/MyDrive/nmr_hsqc_predictor_v13/data/raw/bmrb/bmr4227_3.str
4228,test,1BQ0,72,1,1,1,1,72,0,single_list_exact,False,/content/drive/MyDrive/nmr_hsqc_predictor_v13/data/raw/bmrb/bmr4228_3.str
4230,test,1BUQ,115,1,1,1,1,115,0,single_list_exact,False,/content/drive/MyDrive/nmr_hsqc_predictor_v13/data/raw/bmrb/bmr4230_3.str
4241,train,2XBD,84,1,1,1,1,84,0,single_list_exact,False,/content/drive/MyDrive/nmr_hsqc_predictor_v13/data/raw/bmrb/bmr4241_3.str
4242,test,3MSP,114,1,1,1,1,114,0,single_list_exact,False,/content/drive/MyDrive/nmr_hsqc_predictor_v13/data/raw/bmrb/bmr4242_3.str
4248,train,2LEF,82,3,1,1,1,82,0,single_list_exact,False,/content/drive/MyDrive/nmr_hsqc_predictor_v13/data/raw/bmrb/bmr4248_3.str
4249,train,1XPA,100,1,1,1,1,100,0,single_list_exact,False,/content/drive/MyDrive/nmr_hsqc_predictor_v13/data/raw/bmrb/bmr4249_3.str
4254,val,1L3G,107,1,1,1,1,107,0,single_list_exact,False,/content/drive/MyDrive/nmr_hsqc_predictor_v13/data/raw/bmrb/bmr4254_3.str
4255,train,2IF1,115,1,1,1,1,115,0,single_list_exact,False,/content/drive/MyDrive/nmr_hsqc_predictor_v13/data/raw/bmrb/bmr4255_3.str
4262,train,1BZF,151,2,1,1,1,151,0,single_list_exact,False,/content/drive/MyDrive/nmr_hsqc_predictor_v13/data/raw/bmrb/bmr4262_3.str
4263,val,2NMB,143,2,2,1,1,143,1,single_list_exact,False,/content/drive/MyDrive/nmr_hsqc_predictor_v13/data/raw/bmrb/bmr4263_3.str
4265,train,1DS9,191,1,1,1,1,191,0,single_list_exact,False,/content/drive/MyDrive/nmr_hsqc_predictor_v13/data/raw/bmrb/bmr4265_3.str
4269,test,1GHT,98,1,1,1,1,98,0,single_list_exact,False,/content/drive/MyDrive/nmr_hsqc_predictor_v13/data/raw/bmrb/bmr4269_3.str
4271,train,1JFJ,131,1,1,1,1,131,0,single_list_exact,False,/content/drive/MyDrive/nmr_hsqc_predictor_v13/data/raw/bmrb/bmr4271_3.str
4276,train,1B2I,73,1,1,1,1,73,0,single_list_exact,False,/content/drive/MyDrive/nmr_hsqc_predictor_v13/data/raw/bmrb/bmr4276_3.str
4281,train,1Z0R,49,1,1,1,1,49,0,single_list_exact,False,/content/drive/MyDrive/nmr_hsqc_predictor_v13/data/raw/bmrb/bmr4281_3.str
4285,test,1K2H,78,3,3,1,1,78,13,single_list_exact,False,/content/drive/MyDrive/nmr_hsqc_predictor_v13/data/raw/bmrb/bmr4285_3.str
4299,train,2F63,127,1,1,1,1,127,0,single_list_exact,False,/content/drive/MyDrive/nmr_hsqc_predictor_v13/data/raw/bmrb/bmr4299_3.str
4300,train,2F65,138,1,1,1,1,138,0,single_list_exact,False,/content/drive/MyDrive/nmr_hsqc_predictor_v13/data/raw/bmrb/bmr4300_3.str
4312,train,1JM4,100,1,1,1,1,100,0,single_list_exact,False,/content/drive/MyDrive/nmr_hsqc_predictor_v13/data/raw/bmrb/bmr4312_3.str
4313,train,1ZRR,144,1,1,1,1,144,0,single_list_exact,False,/content/drive/MyDrive/nmr_hsqc_predictor_v13/data/raw/bmrb/bmr4313_3.str
4334,test,1KQQ,124,1,1,1,1,124,0,single_list_exact,False,/content/drive/MyDrive/nmr_hsqc_predictor_v13/data/raw/bmrb/bmr4334_3.str
4342,train,1LY7,117,1,1,1,1,117,0,single_list_exact,False,/content/drive/MyDrive/nmr_hsqc_predictor_v13/data/raw/bmrb/bmr4342_3.str
