entry_id,entity_key,shift_list_key,n_residue_keys,n_residues_with_h,n_residues_with_n,n_strict_unambiguous_hn_pairs,n_conflicting_h_residue_keys,n_conflicting_n_residue_keys,n_conflicting_residue_keys,n_identical_duplicate_h_keys,n_multiple_h_alias_keys,n_identical_duplicate_n_keys,meets_minimum_40_pairs,strict_pair_fraction,is_entry_maximum_group,eligible_for_entity_chain_alignment,final_entity_selected,final_shift_list_selected,selection_deferred_until_structure_alignment
10035,1,1,138,138,137,137,0,0,0,0,0,0,True,0.9927536231884058,True,True,False,False,True
10036,1,1,145,145,145,145,0,0,0,0,0,0,True,1.0,True,True,False,False,True
10037,1,1,85,85,85,85,0,0,0,0,0,0,True,1.0,True,True,False,False,True
10038,1,1,95,95,94,94,0,0,0,0,0,0,True,0.9894736842105263,True,True,False,False,True
10039,1,1,102,102,102,102,0,0,0,0,0,0,True,1.0,True,True,False,False,True
10040,1,1,87,86,87,86,0,0,0,0,0,0,True,0.9885057471264368,True,True,False,False,True
10041,1,1,107,107,106,106,0,0,0,0,0,0,True,0.9906542056074766,True,True,False,False,True
10042,1,1,108,108,106,106,0,0,0,0,0,0,True,0.9814814814814815,True,True,False,False,True
10043,1,1,95,95,95,95,0,0,0,0,0,0,True,1.0,True,True,False,False,True
10044,1,1,68,68,68,68,0,0,0,0,0,0,True,1.0,True,True,False,False,True
10045,1,1,72,72,72,72,0,0,0,0,0,0,True,1.0,True,True,False,False,True
10046,1,1,96,96,96,96,0,0,0,0,0,0,True,1.0,True,True,False,False,True
10047,1,1,62,62,62,62,0,0,0,0,0,0,True,1.0,True,True,False,False,True
10048,1,1,51,51,51,51,0,0,0,0,0,0,True,1.0,True,True,False,False,True
10049,1,1,93,93,93,93,0,0,0,0,0,0,True,1.0,True,True,False,False,True
10050,1,1,81,81,81,81,0,0,0,0,0,0,True,1.0,True,True,False,False,True
10054,1,1,84,84,84,84,0,0,0,0,0,0,True,1.0,True,True,False,False,True
10055,1,1,141,141,141,141,0,0,0,0,0,0,True,1.0,True,True,False,False,True
10056,1,1,81,81,80,80,0,0,0,0,0,0,True,0.9876543209876543,True,True,False,False,True
10057,1,1,117,117,116,116,0,0,0,0,0,0,True,0.9914529914529915,True,True,False,False,True
10058,1,1,92,92,92,92,0,0,0,0,0,0,True,1.0,True,True,False,False,True
10059,1,1,132,132,132,132,0,0,0,0,0,0,True,1.0,True,True,False,False,True
10060,1,1,88,88,86,86,0,0,0,0,0,0,True,0.9772727272727273,True,True,False,False,True
10061,1,1,83,83,83,83,0,0,0,0,0,0,True,1.0,True,True,False,False,True
10063,1,1,66,66,64,64,0,0,0,0,0,0,True,0.9696969696969697,True,True,False,False,True
10064,1,1,99,99,99,99,0,0,0,0,0,0,True,1.0,True,True,False,False,True
10065,1,1,87,87,87,87,0,0,0,0,0,0,True,1.0,True,True,False,False,True
10066,1,1,83,83,80,80,0,0,0,0,0,0,True,0.963855421686747,True,True,False,False,True
10067,1,1,102,102,102,102,0,0,0,0,0,0,True,1.0,True,True,False,False,True
10068,1,1,126,126,126,126,0,0,0,0,0,0,True,1.0,True,True,False,False,True
10069,1,1,83,83,83,83,0,0,0,0,0,0,True,1.0,True,True,False,False,True
10070,1,1,85,85,85,85,0,0,0,0,0,0,True,1.0,True,True,False,False,True
10071,1,1,99,99,99,99,0,0,0,0,0,0,True,1.0,True,True,False,False,True
10072,1,1,79,79,79,79,0,0,0,0,0,0,True,1.0,True,True,False,False,True
10073,1,1,123,123,123,123,0,0,0,0,0,0,True,1.0,True,True,False,False,True
10074,1,1,116,116,116,116,0,0,0,0,0,0,True,1.0,True,True,False,False,True
10075,1,1,102,102,101,101,0,0,0,0,0,0,True,0.9901960784313726,True,True,False,False,True
10076,1,1,110,110,110,110,0,0,0,0,0,0,True,1.0,True,True,False,False,True
10077,1,1,87,87,87,87,0,0,0,0,0,0,True,1.0,True,True,False,False,True
10079,1,1,92,92,91,91,0,0,0,0,0,0,True,0.9891304347826086,True,True,False,False,True
10080,1,1,122,122,122,122,0,0,0,0,0,0,True,1.0,True,True,False,False,True
10081,1,1,93,93,93,93,0,0,0,0,0,0,True,1.0,True,True,False,False,True
10082,1,1,87,87,85,85,0,0,0,0,0,0,True,0.9770114942528736,True,True,False,False,True
10083,1,1,121,121,121,121,0,0,0,0,0,0,True,1.0,True,True,False,False,True
10084,1,1,123,123,123,123,0,0,0,0,0,0,True,1.0,True,True,False,False,True
10085,1,1,88,88,88,88,0,0,0,0,0,0,True,1.0,True,True,False,False,True
10086,1,1,85,85,80,80,0,0,0,0,0,0,True,0.9411764705882353,True,True,False,False,True
10087,1,1,71,71,71,71,0,0,0,0,0,0,True,1.0,True,True,False,False,True
10088,1,1,93,93,93,93,0,0,0,0,0,0,True,1.0,True,True,False,False,True
10089,1,1,149,149,147,147,0,0,0,0,0,0,True,0.9865771812080537,True,True,False,False,True
10090,1,1,120,120,118,118,0,0,0,0,0,0,True,0.9833333333333333,True,True,False,False,True
10091,1,1,85,85,85,85,0,0,0,0,0,0,True,1.0,True,True,False,False,True
10092,1,1,104,104,102,102,0,0,0,0,0,0,True,0.9807692307692307,True,True,False,False,True
10093,1,1,91,91,90,90,0,0,0,0,0,0,True,0.989010989010989,True,True,False,False,True
10094,1,1,92,92,90,90,0,0,0,0,0,0,True,0.9782608695652174,True,True,False,False,True
10095,1,1,75,75,75,75,0,0,0,0,0,0,True,1.0,True,True,False,False,True
10097,1,1,94,94,94,94,0,0,0,0,0,0,True,1.0,True,True,False,False,True
10098,1,1,69,69,69,69,0,0,0,0,0,0,True,1.0,True,True,False,False,True
10099,1,1,102,102,102,102,0,0,0,0,0,0,True,1.0,True,True,False,False,True
10100,1,1,87,87,85,85,0,0,0,0,0,0,True,0.9770114942528736,True,True,False,False,True
10101,1,1,111,111,109,109,0,0,0,0,0,0,True,0.9819819819819819,True,True,False,False,True
10102,1,1,104,104,104,104,0,0,0,0,0,0,True,1.0,True,True,False,False,True
10103,1,1,98,98,98,98,0,0,0,0,0,0,True,1.0,True,True,False,False,True
10104,1,1,106,106,106,106,0,0,0,0,0,0,True,1.0,True,True,False,False,True
10105,1,1,71,71,71,71,0,0,0,0,0,0,True,1.0,True,True,False,False,True
10106,1,1,92,92,92,92,0,0,0,0,0,0,True,1.0,True,True,False,False,True
10107,1,1,110,110,110,110,0,0,0,0,0,0,True,1.0,True,True,False,False,True
10108,1,1,75,75,75,75,0,0,0,0,0,0,True,1.0,True,True,False,False,True
10109,1,1,104,104,101,101,0,0,0,0,0,0,True,0.9711538461538461,True,True,False,False,True
10110,1,1,77,77,73,73,0,0,0,0,0,0,True,0.948051948051948,True,True,False,False,True
10111,1,1,92,92,91,91,0,0,0,0,0,0,True,0.9891304347826086,True,True,False,False,True
10112,1,1,88,88,88,88,0,0,0,0,0,0,True,1.0,True,True,False,False,True
10113,1,1,114,114,112,112,0,0,0,0,0,0,True,0.9824561403508771,True,True,False,False,True
10114,1,1,109,109,108,108,0,0,0,0,0,0,True,0.9908256880733946,True,True,False,False,True
10115,1,1,121,121,119,119,0,0,0,0,0,0,True,0.9834710743801653,True,True,False,False,True
10118,1,1,72,72,72,72,0,0,0,0,0,0,True,1.0,True,True,False,False,True
10119,1,1,77,77,76,76,0,0,0,0,0,0,True,0.987012987012987,True,True,False,False,True
10120,1,1,133,133,133,133,0,0,0,0,0,0,True,1.0,True,True,False,False,True
10121,1,1,102,102,101,101,0,0,0,0,0,0,True,0.9901960784313726,True,True,False,False,True
10122,1,1,66,66,66,66,0,0,0,0,0,0,True,1.0,True,True,False,False,True
10123,1,1,84,84,84,84,0,0,0,0,0,0,True,1.0,True,True,False,False,True
10124,1,1,82,82,82,82,0,0,0,0,0,0,True,1.0,True,True,False,False,True
10125,1,1,111,111,111,111,0,0,0,0,0,0,True,1.0,True,True,False,False,True
10126,1,1,107,107,106,106,0,0,0,0,0,0,True,0.9906542056074766,True,True,False,False,True
10127,1,1,89,89,83,83,0,0,0,0,0,0,True,0.9325842696629213,True,True,False,False,True
10128,1,1,112,112,112,112,0,0,0,0,0,0,True,1.0,True,True,False,False,True
10129,1,1,104,104,103,103,0,0,0,0,0,0,True,0.9903846153846154,True,True,False,False,True
10130,1,1,99,99,99,99,0,0,0,0,0,0,True,1.0,True,True,False,False,True
10131,1,1,112,112,112,112,0,0,0,0,0,0,True,1.0,True,True,False,False,True
10132,1,1,74,74,74,74,0,0,0,0,0,0,True,1.0,True,True,False,False,True
10133,1,1,75,75,75,75,0,0,0,0,0,0,True,1.0,True,True,False,False,True
10136,1,1,82,82,82,82,0,0,0,0,0,0,True,1.0,True,True,False,False,True
10137,1,1,107,107,107,107,0,0,0,0,0,0,True,1.0,True,True,False,False,True
10138,1,1,79,79,79,79,0,0,0,0,0,0,True,1.0,True,True,False,False,True
10141,1,1,109,109,108,108,0,0,0,0,0,0,True,0.9908256880733946,True,True,False,False,True
10142,1,1,91,91,90,90,0,0,0,0,0,0,True,0.989010989010989,True,True,False,False,True
10143,1,1,101,101,101,101,0,0,0,0,0,0,True,1.0,True,True,False,False,True
10144,1,1,193,193,187,187,0,0,0,0,0,0,True,0.9689119170984456,True,True,False,False,True
10145,1,1,197,197,191,191,0,0,0,0,0,0,True,0.9695431472081218,True,True,False,False,True
10146,1,1,88,88,86,86,0,0,0,0,0,0,True,0.9772727272727273,True,True,False,False,True
10147,1,1,107,107,107,107,0,0,0,0,0,0,True,1.0,True,True,False,False,True
10148,1,1,84,84,84,84,0,0,0,0,0,0,True,1.0,True,True,False,False,True
10149,1,1,107,107,106,106,0,0,0,0,0,0,True,0.9906542056074766,True,True,False,False,True
10150,1,1,55,55,55,55,0,0,0,0,0,0,True,1.0,True,True,False,False,True
10151,1,1,28,28,28,28,0,0,0,0,0,0,False,1.0,True,False,False,False,False
10152,1,1,35,35,35,35,0,0,0,0,0,0,False,1.0,True,False,False,False,False
10153,1,1,29,29,29,29,0,0,0,0,0,0,False,1.0,True,False,False,False,False
10154,1,1,33,33,32,32,0,0,0,0,0,0,False,0.9696969696969697,True,False,False,False,False
10155,1,1,29,29,29,29,0,0,0,0,0,0,False,1.0,True,False,False,False,False
10156,1,1,27,27,27,27,0,0,0,0,0,0,False,1.0,True,False,False,False,False
10157,1,1,30,30,30,30,0,0,0,0,0,0,False,1.0,True,False,False,False,False
10158,1,1,34,34,34,34,0,0,0,0,0,0,False,1.0,True,False,False,False,False
10159,1,1,81,81,81,81,0,0,0,0,0,0,True,1.0,True,True,False,False,True
10160,1,1,99,99,99,99,0,0,0,0,0,0,True,1.0,True,True,False,False,True
10161,1,1,92,92,92,92,0,0,0,0,0,0,True,1.0,True,True,False,False,True
10162,1,1,95,95,91,91,0,0,0,0,0,0,True,0.9578947368421052,True,True,False,False,True
10163,1,1,89,89,89,89,0,0,0,0,0,0,True,1.0,True,True,False,False,True
10164,1,1,134,134,133,133,0,0,0,0,0,0,True,0.9925373134328358,True,True,False,False,True
10165,1,1,143,143,143,143,0,0,0,0,0,0,True,1.0,True,True,False,False,True
10166,1,1,30,30,30,30,0,0,0,0,0,0,False,1.0,True,False,False,False,False
10167,1,1,28,28,28,28,0,0,0,0,0,0,False,1.0,True,False,False,False,False
10168,1,1,32,32,32,32,0,0,0,0,0,0,False,1.0,True,False,False,False,False
10169,1,1,30,30,30,30,0,0,0,0,0,0,False,1.0,True,False,False,False,False
10170,1,1,30,30,30,30,0,0,0,0,0,0,False,1.0,True,False,False,False,False
10171,1,1,32,32,32,32,0,0,0,0,0,0,False,1.0,True,False,False,False,False
10172,1,1,28,28,28,28,0,0,0,0,0,0,False,1.0,True,False,False,False,False
10173,1,1,29,29,29,29,0,0,0,0,0,0,False,1.0,True,False,False,False,False
10174,1,1,28,28,28,28,0,0,0,0,0,0,False,1.0,True,False,False,False,False
10175,1,1,28,28,28,28,0,0,0,0,0,0,False,1.0,True,False,False,False,False
10176,1,1,30,30,30,30,0,0,0,0,0,0,False,1.0,True,False,False,False,False
10177,1,1,29,29,29,29,0,0,0,0,0,0,False,1.0,True,False,False,False,False
10178,1,1,30,30,30,30,0,0,0,0,0,0,False,1.0,True,False,False,False,False
10179,1,1,29,29,29,29,0,0,0,0,0,0,False,1.0,True,False,False,False,False
10180,1,1,32,32,32,32,0,0,0,0,0,0,False,1.0,True,False,False,False,False
10181,1,1,32,32,32,32,0,0,0,0,0,0,False,1.0,True,False,False,False,False
10182,1,1,31,31,31,31,0,0,0,0,0,0,False,1.0,True,False,False,False,False
10183,1,1,29,29,29,29,0,0,0,0,0,0,False,1.0,True,False,False,False,False
10184,1,1,33,33,33,33,0,0,0,0,0,0,False,1.0,True,False,False,False,False
10185,1,1,32,32,32,32,0,0,0,0,0,0,False,1.0,True,False,False,False,False
10186,1,1,32,32,32,32,0,0,0,0,0,0,False,1.0,True,False,False,False,False
10187,1,1,29,29,29,29,0,0,0,0,0,0,False,1.0,True,False,False,False,False
10188,1,1,30,30,30,30,0,0,0,0,0,0,False,1.0,True,False,False,False,False
10189,1,1,33,33,33,33,0,0,0,0,0,0,False,1.0,True,False,False,False,False
10191,1,1,32,32,32,32,0,0,0,0,0,0,False,1.0,True,False,False,False,False
10192,1,1,31,31,31,31,0,0,0,0,0,0,False,1.0,True,False,False,False,False
10193,1,1,59,59,59,59,0,0,0,0,0,0,True,1.0,True,True,False,False,True
10194,1,1,67,67,67,67,0,0,0,0,0,0,True,1.0,True,True,False,False,True
10195,1,1,76,76,74,74,0,0,0,0,0,0,True,0.9736842105263158,True,True,False,False,True
10196,1,1,27,27,27,27,0,0,0,0,0,0,False,1.0,True,False,False,False,False
10197,1,1,29,29,29,29,0,0,0,0,0,0,False,1.0,True,False,False,False,False
10198,1,1,35,35,35,35,0,0,0,0,0,0,False,1.0,True,False,False,False,False
10199,1,1,29,29,29,29,0,0,0,0,0,0,False,1.0,True,False,False,False,False
10200,1,1,28,28,28,28,0,0,0,0,0,0,False,1.0,True,False,False,False,False
10201,1,1,33,33,32,32,0,0,0,0,0,0,False,0.9696969696969697,True,False,False,False,False
10202,1,1,33,33,33,33,0,0,0,0,0,0,False,1.0,True,False,False,False,False
10203,1,1,33,33,33,33,0,0,0,0,0,0,False,1.0,True,False,False,False,False
10204,1,1,32,32,32,32,0,0,0,0,0,0,False,1.0,True,False,False,False,False
10205,1,1,32,32,32,32,0,0,0,0,0,0,False,1.0,True,False,False,False,False
10206,1,1,28,28,28,28,0,0,0,0,0,0,False,1.0,True,False,False,False,False
10207,1,1,30,30,30,30,0,0,0,0,0,0,False,1.0,True,False,False,False,False
10208,1,1,29,29,29,29,0,0,0,0,0,0,False,1.0,True,False,False,False,False
10209,1,1,31,31,31,31,0,0,0,0,0,0,False,1.0,True,False,False,False,False
10210,1,1,31,31,31,31,0,0,0,0,0,0,False,1.0,True,False,False,False,False
10211,1,1,73,73,73,73,0,0,0,0,0,0,True,1.0,True,True,False,False,True
10212,1,1,64,64,64,64,0,0,0,0,0,0,True,1.0,True,True,False,False,True
10213,1,1,81,81,79,79,0,0,0,0,0,0,True,0.9753086419753086,True,True,False,False,True
10214,1,1,52,50,52,50,0,0,0,0,0,0,True,0.9615384615384616,True,True,False,False,True
10215,1,1,40,40,40,40,0,0,0,0,0,0,True,1.0,True,True,False,False,True
10216,1,1,32,32,32,32,0,0,0,0,0,0,False,1.0,True,False,False,False,False
10217,1,1,31,31,31,31,0,0,0,0,0,0,False,1.0,True,False,False,False,False
10218,1,1,32,32,32,32,0,0,0,0,0,0,False,1.0,True,False,False,False,False
10219,1,1,34,34,34,34,0,0,0,0,0,0,False,1.0,True,False,False,False,False
10220,1,1,31,31,31,31,0,0,0,0,0,0,False,1.0,True,False,False,False,False
10221,1,1,32,32,32,32,0,0,0,0,0,0,False,1.0,True,False,False,False,False
10222,1,1,33,33,33,33,0,0,0,0,0,0,False,1.0,True,False,False,False,False
10223,1,1,27,27,27,27,0,0,0,0,0,0,False,1.0,True,False,False,False,False
10224,1,1,33,32,33,32,0,0,0,0,0,0,False,0.9696969696969697,True,False,False,False,False
10225,1,1,36,36,36,36,0,0,0,0,0,0,False,1.0,True,False,False,False,False
10226,1,1,32,32,32,32,0,0,0,0,0,0,False,1.0,True,False,False,False,False
10227,1,1,31,30,31,30,0,0,0,0,0,0,False,0.967741935483871,True,False,False,False,False
10228,1,1,33,30,33,30,0,0,0,0,0,0,False,0.9090909090909091,True,False,False,False,False
10229,1,1,31,31,31,31,0,0,0,0,0,0,False,1.0,True,False,False,False,False
10230,1,1,33,31,33,31,0,0,0,0,0,0,False,0.9393939393939394,True,False,False,False,False
10231,1,1,31,31,31,31,0,0,0,0,0,0,False,1.0,True,False,False,False,False
10232,1,1,34,30,34,30,0,0,0,0,0,0,False,0.8823529411764706,True,False,False,False,False
10233,1,1,37,36,37,36,0,0,0,0,0,0,False,0.972972972972973,True,False,False,False,False
10234,1,1,30,28,30,28,0,0,0,0,0,0,False,0.9333333333333333,True,False,False,False,False
10235,1,1,122,122,122,122,0,0,0,0,0,0,True,1.0,True,True,False,False,True
10236,2,1,120,120,120,120,0,0,0,0,0,0,True,1.0,True,True,False,False,True
10236,1,1,27,27,0,0,0,0,0,0,0,0,False,0.0,False,False,False,False,False
10237,1,1,156,156,155,155,0,0,0,0,0,0,True,0.9935897435897436,True,True,False,False,True
10238,1,1,149,149,148,148,0,0,0,0,0,0,True,0.9932885906040269,True,True,False,False,True
10239,1,1,157,157,156,156,0,0,0,0,0,0,True,0.9936305732484076,True,True,False,False,True
10240,1,1,70,70,70,70,0,0,0,0,0,0,True,1.0,True,True,False,False,True
10241,1,1,66,66,66,66,0,0,0,0,0,0,True,1.0,True,True,False,False,True
10242,1,1,102,102,101,101,0,0,0,0,0,0,True,0.9901960784313726,True,True,False,False,True
10243,1,1,56,56,56,56,0,0,0,0,0,0,True,1.0,True,True,False,False,True
10244,1,1,68,68,68,68,0,0,0,0,0,0,True,1.0,True,True,False,False,True
10245,1,1,64,64,63,63,0,0,0,0,0,0,True,0.984375,True,True,False,False,True
10246,1,1,65,65,65,65,0,0,0,0,0,0,True,1.0,True,True,False,False,True
10247,1,1,67,67,67,67,0,0,0,0,0,0,True,1.0,True,True,False,False,True
10248,1,1,62,62,61,61,0,0,0,0,0,0,True,0.9838709677419355,True,True,False,False,True
10249,1,1,113,113,113,113,0,0,0,0,0,0,True,1.0,True,True,False,False,True
10250,1,1,130,130,128,128,0,0,0,0,0,0,True,0.9846153846153847,True,True,False,False,True
10251,1,1,112,112,112,112,0,0,0,0,0,0,True,1.0,True,True,False,False,True
10252,1,1,80,80,80,80,0,0,0,0,0,0,True,1.0,True,True,False,False,True
10253,1,1,108,108,105,105,0,0,0,0,0,0,True,0.9722222222222222,True,True,False,False,True
10254,1,1,93,93,93,93,0,0,0,0,0,0,True,1.0,True,True,False,False,True
10255,1,1,96,96,90,90,0,0,0,0,0,0,True,0.9375,True,True,False,False,True
10256,1,1,93,93,90,90,0,0,0,0,0,0,True,0.967741935483871,True,True,False,False,True
10257,1,1,52,52,52,52,0,0,0,0,0,0,True,1.0,True,True,False,False,True
10258,1,1,95,95,95,95,0,0,0,0,0,0,True,1.0,True,True,False,False,True
10259,1,1,92,92,91,91,0,0,0,0,0,0,True,0.9891304347826086,True,True,False,False,True
10260,1,1,85,85,85,85,0,0,0,0,0,0,True,1.0,True,True,False,False,True
10261,1,1,61,61,61,61,0,0,0,0,0,0,True,1.0,True,True,False,False,True
10262,1,1,81,81,81,81,0,0,0,0,0,0,True,1.0,True,True,False,False,True
10263,1,1,94,94,94,94,0,0,0,0,0,0,True,1.0,True,True,False,False,True
10264,1,1,148,148,147,147,0,0,0,0,0,0,True,0.9932432432432432,True,True,False,False,True
10265,1,1,110,110,110,110,0,0,0,0,0,0,True,1.0,True,True,False,False,True
10266,1,1,89,88,89,88,0,0,0,0,0,0,True,0.9887640449438202,True,True,False,False,True
10267,1,1,106,104,106,104,0,0,0,0,0,0,True,0.9811320754716981,True,True,False,False,True
10268,1,1,106,106,106,106,0,0,0,0,0,0,True,1.0,True,True,False,False,True
10269,1,1,56,56,56,56,0,0,0,0,0,0,True,1.0,True,True,False,False,True
10270,1,1,108,107,108,107,0,0,0,0,0,0,True,0.9907407407407407,True,True,False,False,True
10271,1,1,86,86,86,86,0,0,0,0,0,0,True,1.0,True,True,False,False,True
10272,1,1,66,66,66,66,0,0,0,0,0,0,True,1.0,True,True,False,False,True
10273,1,1,74,74,74,74,0,0,0,0,0,0,True,1.0,True,True,False,False,True
10274,1,1,87,85,87,85,0,0,0,0,0,0,True,0.9770114942528736,True,True,False,False,True
10275,1,1,84,84,83,83,0,0,0,0,0,0,True,0.9880952380952381,True,True,False,False,True
10276,1,1,65,65,65,65,0,0,0,0,0,0,True,1.0,True,True,False,False,True
10277,1,1,61,61,60,60,0,0,0,0,0,0,True,0.9836065573770492,True,True,False,False,True
10278,1,1,114,114,111,111,0,0,0,0,0,0,True,0.9736842105263158,True,True,False,False,True
10279,1,1,108,108,108,108,0,0,0,0,0,0,True,1.0,True,True,False,False,True
10280,1,1,108,108,108,108,0,0,0,0,0,0,True,1.0,True,True,False,False,True
10281,1,1,60,60,59,59,0,0,0,0,0,0,True,0.9833333333333333,True,True,False,False,True
10282,1,1,79,79,77,77,0,0,0,0,0,0,True,0.9746835443037974,True,True,False,False,True
10283,1,1,59,59,57,57,0,0,0,0,0,0,True,0.9661016949152542,True,True,False,False,True
10284,1,1,57,57,57,57,0,0,0,0,0,0,True,1.0,True,True,False,False,True
10285,1,1,68,68,68,68,0,0,0,0,0,0,True,1.0,True,True,False,False,True
10286,1,1,68,68,68,68,0,0,0,0,0,0,True,1.0,True,True,False,False,True
10287,1,1,61,61,61,61,0,0,0,0,0,0,True,1.0,True,True,False,False,True
10288,1,1,84,84,83,83,0,0,0,0,0,0,True,0.9880952380952381,True,True,False,False,True
10289,1,1,55,55,55,55,0,0,0,0,0,0,True,1.0,True,True,False,False,True
10290,1,1,53,53,53,53,0,0,0,0,0,0,True,1.0,True,True,False,False,True
10291,1,1,59,59,59,59,0,0,0,0,0,0,True,1.0,True,True,False,False,True
10292,1,1,72,72,72,72,0,0,0,0,0,0,True,1.0,True,True,False,False,True
10293,1,1,61,61,61,61,0,0,0,0,0,0,True,1.0,True,True,False,False,True
10294,1,1,58,58,58,58,0,0,0,0,0,0,True,1.0,True,True,False,False,True
10295,1,1,61,61,61,61,0,0,0,0,0,0,True,1.0,True,True,False,False,True
10296,1,1,54,54,54,54,0,0,0,0,0,0,True,1.0,True,True,False,False,True
10297,1,1,53,53,53,53,0,0,0,0,0,0,True,1.0,True,True,False,False,True
10298,1,1,52,52,52,52,0,0,0,0,0,0,True,1.0,True,True,False,False,True
10299,1,1,92,92,90,90,0,0,0,0,0,0,True,0.9782608695652174,True,True,False,False,True
10300,1,1,105,105,104,104,0,0,0,0,0,0,True,0.9904761904761905,True,True,False,False,True
10301,1,1,65,65,61,61,0,0,0,0,0,0,True,0.9384615384615385,True,True,False,False,True
10302,1,1,61,61,61,61,0,0,0,0,0,0,True,1.0,True,True,False,False,True
10303,1,1,29,29,29,29,0,0,0,0,0,0,False,1.0,True,False,False,False,False
10304,1,1,32,32,31,31,0,0,0,0,0,0,False,0.96875,True,False,False,False,False
10305,1,1,32,32,32,32,0,0,0,0,0,0,False,1.0,True,False,False,False,False
10306,1,1,32,32,32,32,0,0,0,0,0,0,False,1.0,True,False,False,False,False
10307,1,1,28,28,28,28,0,0,0,0,0,0,False,1.0,True,False,False,False,False
10308,1,1,32,32,32,32,0,0,0,0,0,0,False,1.0,True,False,False,False,False
10309,1,1,33,33,33,33,0,0,0,0,0,0,False,1.0,True,False,False,False,False
10310,1,1,30,30,30,30,0,0,0,0,0,0,False,1.0,True,False,False,False,False
10311,1,1,103,103,102,102,0,0,0,0,0,0,True,0.9902912621359223,True,True,False,False,True
10312,1,1,115,115,115,115,0,0,0,0,0,0,True,1.0,True,True,False,False,True
10313,1,1,98,98,98,98,0,0,0,0,0,0,True,1.0,True,True,False,False,True
10314,1,1,107,107,105,105,0,0,0,0,0,0,True,0.9813084112149533,True,True,False,False,True
10315,1,1,106,106,105,105,0,0,0,0,0,0,True,0.9905660377358491,True,True,False,False,True
10316,1,1,99,99,98,98,0,0,0,0,0,0,True,0.98989898989899,True,True,False,False,True
10317,1,1,106,106,104,104,0,0,0,0,0,0,True,0.9811320754716981,True,True,False,False,True
10318,1,1,138,138,135,135,0,0,0,0,0,0,True,0.9782608695652174,True,True,False,False,True
10319,1,1,103,103,100,100,0,0,0,0,0,0,True,0.970873786407767,True,True,False,False,True
10320,1,1,105,105,105,105,0,0,0,0,0,0,True,1.0,True,True,False,False,True
10321,1,1,103,103,103,103,0,0,0,0,0,0,True,1.0,True,True,False,False,True
10322,1,1,87,87,87,87,0,0,0,0,0,0,True,1.0,True,True,False,False,True
10323,1,1,91,91,91,91,0,0,0,0,0,0,True,1.0,True,True,False,False,True
10324,1,1,82,82,82,82,0,0,0,0,0,0,True,1.0,True,True,False,False,True
10325,1,1,93,93,93,93,0,0,0,0,0,0,True,1.0,True,True,False,False,True
10326,1,1,97,97,97,97,0,0,0,0,0,0,True,1.0,True,True,False,False,True
10327,1,1,104,104,104,104,0,0,0,0,0,0,True,1.0,True,True,False,False,True
10328,1,1,101,101,101,101,0,0,0,0,0,0,True,1.0,True,True,False,False,True
