request_rank,bmrb_id,n_candidate_pdb_ids,candidate_pdb_ids,n_entity_shift_list_groups,n_entities,n_shift_list_keys,maximum_strict_hn_pairs,total_strict_hn_pairs_across_groups,n_groups_meeting_minimum_40,total_conflicting_residue_keys,total_multiple_h_alias_keys,n_groups_tied_for_maximum,has_group_meeting_minimum_40,multiple_groups_meeting_minimum_40,unique_best_group,maximum_pair_count_bin,has_any_retained_h_or_n,shift_screen_eligible,shift_screen_status,final_entity_selected,final_shift_list_selected,requires_entity_chain_alignment,reference_correction_applied,hierarchical_b_j_used
101,4596,1,1CKX,1,1,1,0,0,0,0,0,1,False,False,True,0,True,False,fewer_than_40_strict_hn_pairs,False,False,False,False,False
1010,6355,1,1XHJ,1,1,1,75,75,1,0,0,1,True,False,True,60-79,True,True,eligible_for_structure_screen,False,False,True,False,False
1011,6356,1,2GA5,1,1,1,113,113,1,0,0,1,True,False,True,100-149,True,True,eligible_for_structure_screen,False,False,True,False,False
1012,6357,2,1ERM;1ERO,1,1,1,248,248,1,0,0,1,True,False,True,200-299,True,True,eligible_for_structure_screen,False,False,True,False,False
1013,6358,1,1XS3,1,1,1,70,70,1,0,0,1,True,False,True,60-79,True,True,eligible_for_structure_screen,False,False,True,False,False
1014,6359,1,1XS8,1,1,1,86,86,1,0,0,1,True,False,True,80-99,True,True,eligible_for_structure_screen,False,False,True,False,False
1015,6362,2,1XJS;2AZH,1,1,1,136,136,1,0,0,1,True,False,True,100-149,True,True,eligible_for_structure_screen,False,False,True,False,False
1016,6365,1,1XN6,1,1,1,133,133,1,0,0,1,True,False,True,100-149,True,True,eligible_for_structure_screen,False,False,True,False,False
1017,6366,1,1ZTS,1,1,1,122,122,1,0,0,1,True,False,True,100-149,True,True,eligible_for_structure_screen,False,False,True,False,False
1018,6367,1,1XN7,1,1,1,70,70,1,0,0,1,True,False,True,60-79,True,True,eligible_for_structure_screen,False,False,True,False,False
1019,6369,1,1XN5,1,1,1,130,130,1,0,0,1,True,False,True,100-149,True,True,eligible_for_structure_screen,False,False,True,False,False
102,4597,1,1CKY,1,1,1,0,0,0,0,0,1,False,False,True,0,True,False,fewer_than_40_strict_hn_pairs,False,False,False,False,False
1020,6370,1,1WQK,1,1,1,0,0,0,0,0,1,False,False,True,0,True,False,fewer_than_40_strict_hn_pairs,False,False,False,False,False
1021,6374,1,1XWH,1,1,1,59,59,1,0,0,1,True,False,True,40-59,True,True,eligible_for_structure_screen,False,False,True,False,False
1022,6376,1,2BVB,1,1,1,131,131,1,0,0,1,True,False,True,100-149,True,True,eligible_for_structure_screen,False,False,True,False,False
1023,6377,1,1XYJ,1,1,1,104,104,1,0,0,1,True,False,True,100-149,True,True,eligible_for_structure_screen,False,False,True,False,False
1024,6378,1,1XYK,1,1,1,103,103,1,0,0,1,True,False,True,100-149,True,True,eligible_for_structure_screen,False,False,True,False,False
1025,6380,1,1XYQ,1,1,1,106,106,1,0,0,1,True,False,True,100-149,True,True,eligible_for_structure_screen,False,False,True,False,False
1026,6381,1,1XYU,1,1,1,106,106,1,0,0,1,True,False,True,100-149,True,True,eligible_for_structure_screen,False,False,True,False,False
1027,6382,1,1XU0,1,1,1,122,122,1,0,0,1,True,False,True,100-149,True,True,eligible_for_structure_screen,False,False,True,False,False
1028,6383,1,1XYW,1,1,1,108,108,1,0,0,1,True,False,True,100-149,True,True,eligible_for_structure_screen,False,False,True,False,False
1029,6384,1,1XUT,1,1,1,37,37,0,0,0,1,False,False,True,20-39,True,False,fewer_than_40_strict_hn_pairs,False,False,False,False,False
103,4598,1,1CKZ,1,1,1,0,0,0,0,0,1,False,False,True,0,True,False,fewer_than_40_strict_hn_pairs,False,False,False,False,False
1030,6386,1,1Y1B,1,1,1,0,0,0,0,0,1,False,False,True,0,True,False,fewer_than_40_strict_hn_pairs,False,False,False,False,False
1031,6387,1,1Y1C,1,1,1,0,0,0,0,0,1,False,False,True,0,True,False,fewer_than_40_strict_hn_pairs,False,False,False,False,False
1032,6388,1,1XV3,1,1,1,0,0,0,0,0,1,False,False,True,0,True,False,fewer_than_40_strict_hn_pairs,False,False,False,False,False
1033,6389,1,1WT7,1,1,1,0,0,0,0,0,1,False,False,True,0,True,False,fewer_than_40_strict_hn_pairs,False,False,False,False,False
1034,6390,1,2AGM,1,1,1,159,159,1,0,0,1,True,False,True,150-199,True,True,eligible_for_structure_screen,False,False,True,False,False
1035,6392,1,1O7B,1,1,1,91,91,1,0,0,1,True,False,True,80-99,True,True,eligible_for_structure_screen,False,False,True,False,False
1036,6393,1,1O7C,1,1,1,93,93,1,0,0,1,True,False,True,80-99,True,True,eligible_for_structure_screen,False,False,True,False,False
1037,6395,2,1YR1;2ALJ,2,1,2,110,220,2,0,0,2,True,True,False,100-149,True,True,eligible_for_structure_screen,False,False,True,False,False
1038,6396,1,1Y4O,1,1,1,93,93,1,0,0,1,True,False,True,80-99,True,True,eligible_for_structure_screen,False,False,True,False,False
1039,6398,1,1Y9O,1,1,1,95,95,1,0,0,1,True,False,True,80-99,True,True,eligible_for_structure_screen,False,False,True,False,False
104,4600,1,1CL4,1,1,1,48,48,1,0,0,1,True,False,True,40-59,True,True,eligible_for_structure_screen,False,False,True,False,False
1040,6399,1,1HH8,1,1,1,197,197,1,0,0,1,True,False,True,150-199,True,True,eligible_for_structure_screen,False,False,True,False,False
1041,6400,1,2F76,1,1,1,91,91,1,0,0,1,True,False,True,80-99,True,True,eligible_for_structure_screen,False,False,True,False,False
1042,6401,1,2F77,1,1,1,90,90,1,0,0,1,True,False,True,80-99,True,True,eligible_for_structure_screen,False,False,True,False,False
1043,6402,1,1Y00,1,1,1,0,0,0,0,0,1,False,False,True,0,True,False,fewer_than_40_strict_hn_pairs,False,False,False,False,False
1044,6403,1,1Y2S,1,1,1,106,106,1,0,0,1,True,False,True,100-149,True,True,eligible_for_structure_screen,False,False,True,False,False
1045,6407,1,2FK4,1,1,1,68,68,1,0,0,1,True,False,True,60-79,True,True,eligible_for_structure_screen,False,False,True,False,False
1046,6410,2,1Z7P;1Z7R,1,1,1,110,110,1,0,0,1,True,False,True,100-149,True,True,eligible_for_structure_screen,False,False,True,False,False
1047,6416,1,1UIV,1,1,1,396,396,1,0,0,1,True,False,True,300+,True,True,eligible_for_structure_screen,False,False,True,False,False
1048,6419,1,1XU6,1,1,1,73,73,1,0,0,1,True,False,True,60-79,True,True,eligible_for_structure_screen,False,False,True,False,False
1049,6420,1,1XT7,1,1,1,0,0,0,0,0,1,False,False,True,0,True,False,fewer_than_40_strict_hn_pairs,False,False,False,False,False
105,4601,1,1DLZ,1,1,1,13,13,0,0,0,1,False,False,True,10-19,True,False,fewer_than_40_strict_hn_pairs,False,False,False,False,False
1050,6421,1,1XXZ,1,1,1,0,0,0,0,0,1,False,False,True,0,True,False,fewer_than_40_strict_hn_pairs,False,False,False,False,False
1051,6422,1,1XY4,1,1,1,0,0,0,0,0,1,False,False,True,0,True,False,fewer_than_40_strict_hn_pairs,False,False,False,False,False
1052,6423,1,1XY5,1,1,1,0,0,0,0,0,1,False,False,True,0,True,False,fewer_than_40_strict_hn_pairs,False,False,False,False,False
1053,6424,1,1XY6,1,1,1,0,0,0,0,0,1,False,False,True,0,True,False,fewer_than_40_strict_hn_pairs,False,False,False,False,False
1054,6425,1,1XY8,1,1,1,0,0,0,0,0,1,False,False,True,0,True,False,fewer_than_40_strict_hn_pairs,False,False,False,False,False
1055,6426,1,1XY9,1,1,1,0,0,0,0,0,1,False,False,True,0,True,False,fewer_than_40_strict_hn_pairs,False,False,False,False,False
1056,6427,2,1Y03;1Y04,2,1,2,33,66,0,0,0,2,False,False,False,20-39,True,False,fewer_than_40_strict_hn_pairs,False,False,False,False,False
1057,6434,1,1Z1Z,1,1,1,127,127,1,0,0,1,True,False,True,100-149,True,True,eligible_for_structure_screen,False,False,True,False,False
1058,6437,2,2GMC;2GMD,3,1,3,0,0,0,0,0,3,False,False,False,0,True,False,fewer_than_40_strict_hn_pairs,False,False,False,False,False
1059,6438,1,2J48,1,1,1,115,115,1,0,0,1,True,False,True,100-149,True,True,eligible_for_structure_screen,False,False,True,False,False
106,4604,1,1EE7,1,1,1,3,3,0,0,0,1,False,False,True,1-9,True,False,fewer_than_40_strict_hn_pairs,False,False,False,False,False
1060,6443,1,1YDU,1,1,1,113,113,1,0,0,1,True,False,True,100-149,True,True,eligible_for_structure_screen,False,False,True,False,False
1061,6444,2,1YCM;1Z3J,1,1,1,145,145,1,0,0,1,True,False,True,100-149,True,True,eligible_for_structure_screen,False,False,True,False,False
1062,6446,1,1Y4E,1,1,1,23,23,0,0,0,1,False,False,True,20-39,True,False,fewer_than_40_strict_hn_pairs,False,False,False,False,False
1063,6447,1,1Y7X,1,1,1,105,105,1,0,0,1,True,False,True,100-149,True,True,eligible_for_structure_screen,False,False,True,False,False
1064,6448,1,1XHS,1,1,1,106,106,1,0,0,1,True,False,True,100-149,True,True,eligible_for_structure_screen,False,False,True,False,False
1065,6454,1,2AVX,1,1,1,154,154,1,0,0,1,True,False,True,150-199,True,True,eligible_for_structure_screen,False,False,True,False,False
1066,6456,1,1WA7,2,2,2,62,77,1,0,0,1,True,False,True,60-79,True,True,eligible_for_structure_screen,False,False,True,False,False
1067,6457,1,2MOR,1,1,1,72,72,1,0,0,1,True,False,True,60-79,True,True,eligible_for_structure_screen,False,False,True,False,False
1068,6459,1,1YIU,1,1,1,32,32,0,0,0,1,False,False,True,20-39,True,False,fewer_than_40_strict_hn_pairs,False,False,False,False,False
1069,6462,1,1Y5C,1,1,1,0,0,0,0,0,1,False,False,True,0,True,False,fewer_than_40_strict_hn_pairs,False,False,False,False,False
107,4607,1,1EQX,1,1,1,0,0,0,0,0,1,False,False,True,0,True,False,fewer_than_40_strict_hn_pairs,False,False,False,False,False
1070,6463,1,1Y58,1,1,1,0,0,0,0,0,1,False,False,True,0,True,False,fewer_than_40_strict_hn_pairs,False,False,False,False,False
1071,6464,1,1YEL,1,1,1,91,91,1,0,0,1,True,False,True,80-99,True,True,eligible_for_structure_screen,False,False,True,False,False
1072,6465,1,2AIZ,1,1,1,126,126,1,0,0,1,True,False,True,100-149,True,True,eligible_for_structure_screen,False,False,True,False,False
1073,6467,1,1WXN,1,1,1,0,0,0,0,0,1,False,False,True,0,True,False,fewer_than_40_strict_hn_pairs,False,False,False,False,False
1074,6468,1,2LGC,1,1,1,219,219,1,0,0,1,True,False,True,200-299,True,True,eligible_for_structure_screen,False,False,True,False,False
1075,6474,1,1MZK,0,0,0,0,0,0,0,0,0,False,False,False,,False,False,no_retained_h_or_n,False,False,False,False,False
1076,6475,2,2BGO;2BGP,1,1,1,119,119,1,0,0,1,True,False,True,100-149,True,True,eligible_for_structure_screen,False,False,True,False,False
1077,6476,1,1YQA,1,1,1,81,81,1,0,0,1,True,False,True,80-99,True,True,eligible_for_structure_screen,False,False,True,False,False
1078,6477,1,1YMO,0,0,0,0,0,0,0,0,0,False,False,False,,False,False,no_retained_h_or_n,False,False,False,False,False
1079,6478,1,1YFB,1,1,1,50,50,1,0,0,1,True,False,True,40-59,True,True,eligible_for_structure_screen,False,False,True,False,False
108,4609,1,1EMQ,0,0,0,0,0,0,0,0,0,False,False,False,,False,False,no_retained_h_or_n,False,False,False,False,False
1080,6479,1,1Y6U,1,1,1,66,66,1,0,0,1,True,False,True,60-79,True,True,eligible_for_structure_screen,False,False,True,False,False
1081,6480,1,1YJV,1,1,1,69,69,1,0,0,1,True,False,True,60-79,True,True,eligible_for_structure_screen,False,False,True,False,False
1082,6481,1,1YJU,1,1,1,67,67,1,0,0,1,True,False,True,60-79,True,True,eligible_for_structure_screen,False,False,True,False,False
1083,6482,1,1YJT,1,1,1,69,69,1,0,0,1,True,False,True,60-79,True,True,eligible_for_structure_screen,False,False,True,False,False
1084,6483,1,1YJR,1,1,1,67,67,1,0,0,1,True,False,True,60-79,True,True,eligible_for_structure_screen,False,False,True,False,False
1085,6484,1,2CXJ,1,1,1,97,97,1,0,0,1,True,False,True,80-99,True,True,eligible_for_structure_screen,False,False,True,False,False
1086,6489,1,1WU0,1,1,1,67,67,1,0,0,1,True,False,True,60-79,True,True,eligible_for_structure_screen,False,False,True,False,False
1087,6493,1,2A3J,1,1,1,95,95,1,0,0,1,True,False,True,80-99,True,True,eligible_for_structure_screen,False,False,True,False,False
1088,6498,1,1YSM,1,1,1,69,69,1,0,0,1,True,False,True,60-79,True,True,eligible_for_structure_screen,False,False,True,False,False
1089,6499,1,1XKM,2,2,2,0,0,0,0,0,2,False,False,False,0,True,False,fewer_than_40_strict_hn_pairs,False,False,False,False,False
109,4610,1,1EVM,0,0,0,0,0,0,0,0,0,False,False,False,,False,False,no_retained_h_or_n,False,False,False,False,False
1090,6505,1,1YEZ,1,1,1,62,62,1,0,0,1,True,False,True,60-79,True,True,eligible_for_structure_screen,False,False,True,False,False
1091,6506,1,2CA7,1,1,1,55,55,1,0,0,1,True,False,True,40-59,True,True,eligible_for_structure_screen,False,False,True,False,False
1092,6507,2,1WUM;1ZS5,1,1,1,102,102,1,0,0,1,True,False,True,100-149,True,True,eligible_for_structure_screen,False,False,True,False,False
1093,6508,2,1WUG;1ZS5,1,1,1,102,102,1,0,0,1,True,False,True,100-149,True,True,eligible_for_structure_screen,False,False,True,False,False
1094,6509,2,1YG3;1YG4,0,0,0,0,0,0,0,0,0,False,False,False,,False,False,no_retained_h_or_n,False,False,False,False,False
1095,6510,1,1YXE,1,1,1,128,128,1,0,0,1,True,False,True,100-149,True,True,eligible_for_structure_screen,False,False,True,False,False
1096,6511,1,1YT6,1,1,1,0,0,0,0,0,1,False,False,True,0,True,False,fewer_than_40_strict_hn_pairs,False,False,False,False,False
1097,6516,2,2FQ0;2FQ2,1,1,1,76,76,1,3,0,1,True,False,True,60-79,True,True,eligible_for_structure_screen,False,False,True,False,False
1098,6519,2,1YX7;1YX8,1,1,1,74,74,1,0,0,1,True,False,True,60-79,True,True,eligible_for_structure_screen,False,False,True,False,False
1099,6520,1,2BIC,1,1,1,49,49,1,0,0,1,True,False,True,40-59,True,True,eligible_for_structure_screen,False,False,True,False,False
11,4189,1,1GIW,1,1,1,0,0,0,0,0,1,False,False,True,0,True,False,fewer_than_40_strict_hn_pairs,False,False,False,False,False
110,4612,1,1EVO,0,0,0,0,0,0,0,0,0,False,False,False,,False,False,no_retained_h_or_n,False,False,False,False,False
1100,6527,1,1Z09,1,1,1,89,89,1,0,0,1,True,False,True,80-99,True,True,eligible_for_structure_screen,False,False,True,False,False
1101,6529,1,2LVF,1,1,1,107,107,1,0,0,1,True,False,True,100-149,True,True,eligible_for_structure_screen,False,False,True,False,False
1102,6530,1,1YMZ,1,1,1,32,32,0,0,0,1,False,False,True,20-39,True,False,fewer_than_40_strict_hn_pairs,False,False,False,False,False
1103,6531,2,1YUT;1YUU,1,1,1,88,88,1,0,0,1,True,False,True,80-99,True,True,eligible_for_structure_screen,False,False,True,False,False
1104,6532,2,1YUR;1YUS,1,1,1,84,84,1,0,0,1,True,False,True,80-99,True,True,eligible_for_structure_screen,False,False,True,False,False
1105,6536,1,2GTJ,1,1,1,84,84,1,0,0,1,True,False,True,80-99,True,True,eligible_for_structure_screen,False,False,True,False,False
1106,6539,1,2GTO,1,1,1,76,76,1,0,0,1,True,False,True,60-79,True,True,eligible_for_structure_screen,False,False,True,False,False
1107,6540,1,2AXL,1,1,1,133,133,1,0,0,1,True,False,True,100-149,True,True,eligible_for_structure_screen,False,False,True,False,False
1108,6543,1,1Z2J,0,0,0,0,0,0,0,0,0,False,False,False,,False,False,no_retained_h_or_n,False,False,False,False,False
1109,6549,1,2QMV,1,1,1,225,225,1,0,0,1,True,False,True,200-299,True,True,eligible_for_structure_screen,False,False,True,False,False
111,4614,1,1F5G,0,0,0,0,0,0,0,0,0,False,False,False,,False,False,no_retained_h_or_n,False,False,False,False,False
1110,6551,2,1Z00;2AQ0,2,2,2,77,151,2,0,0,1,True,True,True,60-79,True,True,eligible_for_structure_screen,False,False,True,False,False
1111,6552,1,1YZC,1,1,1,101,101,1,0,0,1,True,False,True,100-149,True,True,eligible_for_structure_screen,False,False,True,False,False
1112,6553,1,1YZA,1,1,1,101,101,1,0,0,1,True,False,True,100-149,True,True,eligible_for_structure_screen,False,False,True,False,False
1113,6554,1,1Z0Q,1,1,1,0,0,0,0,0,1,False,False,True,0,True,False,fewer_than_40_strict_hn_pairs,False,False,False,False,False
1114,6555,1,1YWS,1,1,1,75,75,1,0,0,1,True,False,True,60-79,True,True,eligible_for_structure_screen,False,False,True,False,False
1115,6556,1,1YYB,1,1,1,24,24,0,0,0,1,False,False,True,20-39,True,False,fewer_than_40_strict_hn_pairs,False,False,False,False,False
1116,6557,1,1WZ4,1,1,1,0,0,0,0,0,1,False,False,True,0,True,False,fewer_than_40_strict_hn_pairs,False,False,False,False,False
1117,6558,1,1YWJ,1,1,1,38,38,0,0,0,1,False,False,True,20-39,True,False,fewer_than_40_strict_hn_pairs,False,False,False,False,False
1118,6559,1,1YWI,3,2,3,38,38,0,0,0,1,False,False,True,20-39,True,False,fewer_than_40_strict_hn_pairs,False,False,False,False,False
1119,6560,2,1YYJ;1YYX,1,1,1,97,97,1,0,0,1,True,False,True,80-99,True,True,eligible_for_structure_screen,False,False,True,False,False
112,4615,1,1DKC,1,1,1,0,0,0,0,0,1,False,False,True,0,True,False,fewer_than_40_strict_hn_pairs,False,False,False,False,False
1120,6561,1,1YTR,1,1,1,0,0,0,0,0,1,False,False,True,0,True,False,fewer_than_40_strict_hn_pairs,False,False,False,False,False
1121,6562,1,1Z30,0,0,0,0,0,0,0,0,0,False,False,False,,False,False,no_retained_h_or_n,False,False,False,False,False
1122,6564,1,2BO5,1,1,1,110,110,1,0,0,1,True,False,True,100-149,True,True,eligible_for_structure_screen,False,False,True,False,False
1123,6570,1,1ZZP,1,1,1,122,122,1,0,0,1,True,False,True,100-149,True,True,eligible_for_structure_screen,False,False,True,False,False
1124,6573,1,1YXR,1,1,1,118,118,1,0,0,1,True,False,True,100-149,True,True,eligible_for_structure_screen,False,False,True,False,False
1125,6574,1,1YVC,1,1,1,65,65,1,0,0,1,True,False,True,60-79,True,True,eligible_for_structure_screen,False,False,True,False,False
1126,6580,1,2BBU,1,1,1,137,137,1,0,0,1,True,False,True,100-149,True,True,eligible_for_structure_screen,False,False,True,False,False
1127,6581,2,2OI3;2OJ2,1,1,1,79,79,1,0,0,1,True,False,True,60-79,True,True,eligible_for_structure_screen,False,False,True,False,False
1128,6589,1,1X32,1,1,1,40,40,1,0,0,1,True,False,True,40-59,True,True,eligible_for_structure_screen,False,False,True,False,False
1129,6591,1,1MMC,1,1,1,0,0,0,0,0,1,False,False,True,0,True,False,fewer_than_40_strict_hn_pairs,False,False,False,False,False
113,4616,1,1DX7,1,1,1,0,0,0,0,0,1,False,False,True,0,True,False,fewer_than_40_strict_hn_pairs,False,False,False,False,False
1130,6594,1,1Z2Q,1,1,1,76,76,1,0,0,1,True,False,True,60-79,True,True,eligible_for_structure_screen,False,False,True,False,False
1131,6596,1,1ZA8,1,1,1,0,0,0,0,0,1,False,False,True,0,True,False,fewer_than_40_strict_hn_pairs,False,False,False,False,False
1132,6597,3,1X0O;2A24;2HV1,1,1,1,111,111,1,0,0,1,True,False,True,100-149,True,True,eligible_for_structure_screen,False,False,True,False,False
1133,6598,1,1Z65,0,0,0,0,0,0,0,0,0,False,False,False,,False,False,no_retained_h_or_n,False,False,False,False,False
1134,6599,1,1Z6H,1,1,1,68,68,1,0,0,1,True,False,True,60-79,True,True,eligible_for_structure_screen,False,False,True,False,False
1135,6600,1,1Z7T,1,1,1,70,70,1,0,0,1,True,False,True,60-79,True,True,eligible_for_structure_screen,False,False,True,False,False
1136,6609,1,1TTN,1,1,1,84,84,1,0,0,1,True,False,True,80-99,True,True,eligible_for_structure_screen,False,False,True,False,False
1137,6612,1,1Z1M,1,1,1,100,100,1,0,0,1,True,False,True,100-149,True,True,eligible_for_structure_screen,False,False,True,False,False
1138,6613,1,1Z8R,1,1,1,122,122,1,0,0,1,True,False,True,100-149,True,True,eligible_for_structure_screen,False,False,True,False,False
1139,6615,1,1X37,1,1,1,110,110,1,0,0,1,True,False,True,100-149,True,True,eligible_for_structure_screen,False,False,True,False,False
114,4617,1,1DXW,0,0,0,0,0,0,0,0,0,False,False,False,,False,False,no_retained_h_or_n,False,False,False,False,False
1140,6620,1,2GOV,1,1,1,150,150,1,0,0,1,True,False,True,150-199,True,True,eligible_for_structure_screen,False,False,True,False,False
1141,6624,1,2BYE,1,1,1,87,87,1,0,0,1,True,False,True,80-99,True,True,eligible_for_structure_screen,False,False,True,False,False
1142,6625,3,2AI6;2OZW;2OZX,1,1,1,103,103,1,0,0,1,True,False,True,100-149,True,True,eligible_for_structure_screen,False,False,True,False,False
1143,6627,1,1ZNU,1,1,1,0,0,0,0,0,1,False,False,True,0,True,False,fewer_than_40_strict_hn_pairs,False,False,False,False,False
1144,6629,1,1ZDV,1,1,1,103,103,1,0,0,1,True,False,True,100-149,True,True,eligible_for_structure_screen,False,False,True,False,False
1145,6631,1,1ZKH,1,1,1,79,79,1,0,0,1,True,False,True,60-79,True,True,eligible_for_structure_screen,False,False,True,False,False
1146,6633,1,1ZC5,0,0,0,0,0,0,0,0,0,False,False,False,,False,False,no_retained_h_or_n,False,False,False,False,False
1147,6635,1,2BYF,1,1,1,94,94,1,0,0,1,True,False,True,80-99,True,True,eligible_for_structure_screen,False,False,True,False,False
1148,6636,1,1X5V,1,1,1,0,0,0,0,0,1,False,False,True,0,True,False,fewer_than_40_strict_hn_pairs,False,False,False,False,False
1149,6637,1,1MMC,1,1,1,0,0,0,0,0,1,False,False,True,0,True,False,fewer_than_40_strict_hn_pairs,False,False,False,False,False
115,4618,1,1DXN,0,0,0,0,0,0,0,0,0,False,False,False,,False,False,no_retained_h_or_n,False,False,False,False,False
1150,6639,1,1MMC,1,1,1,0,0,0,0,0,1,False,False,True,0,True,False,fewer_than_40_strict_hn_pairs,False,False,False,False,False
1151,6644,1,2MUI,1,1,1,173,173,1,0,0,1,True,False,True,150-199,True,True,eligible_for_structure_screen,False,False,True,False,False
1152,6645,1,2ITH,1,1,1,147,147,1,0,0,1,True,False,True,100-149,True,True,eligible_for_structure_screen,False,False,True,False,False
1153,6647,1,1MMC,1,1,1,0,0,0,0,0,1,False,False,True,0,True,False,fewer_than_40_strict_hn_pairs,False,False,False,False,False
1154,6649,1,1X60,1,1,1,72,72,1,0,0,1,True,False,True,60-79,True,True,eligible_for_structure_screen,False,False,True,False,False
1155,6652,1,2ADT,0,0,0,0,0,0,0,0,0,False,False,False,,False,False,no_retained_h_or_n,False,False,False,False,False
1156,6654,2,1ZJQ;2AAP,1,1,1,0,0,0,0,0,1,False,False,True,0,True,False,fewer_than_40_strict_hn_pairs,False,False,False,False,False
1157,6655,1,1ZU1,1,1,1,119,119,1,0,0,1,True,False,True,100-149,True,True,eligible_for_structure_screen,False,False,True,False,False
1158,6656,1,1ZNT,1,1,1,0,0,0,0,0,1,False,False,True,0,True,False,fewer_than_40_strict_hn_pairs,False,False,False,False,False
1159,6681,1,2OBU,1,1,1,0,0,0,0,0,1,False,False,True,0,True,False,fewer_than_40_strict_hn_pairs,False,False,False,False,False
116,4620,1,1E1U,1,1,1,104,104,1,0,0,1,True,False,True,100-149,True,True,eligible_for_structure_screen,False,False,True,False,False
1160,6682,1,1ZR9,1,1,1,63,63,1,0,0,1,True,False,True,60-79,True,True,eligible_for_structure_screen,False,False,True,False,False
1161,6690,1,2BN5,2,2,1,59,59,1,0,0,1,True,False,True,40-59,True,True,eligible_for_structure_screen,False,False,True,False,False
1162,6692,1,2BUN,1,1,1,116,116,1,0,0,1,True,False,True,100-149,True,True,eligible_for_structure_screen,False,False,True,False,False
1163,6696,1,2BUG,1,1,1,124,124,1,0,0,1,True,False,True,100-149,True,True,eligible_for_structure_screen,False,False,True,False,False
1164,6699,1,2MAZ,1,1,1,71,71,1,0,0,1,True,False,True,60-79,True,True,eligible_for_structure_screen,False,False,True,False,False
1165,6714,1,2A1C,1,1,1,0,0,0,0,0,1,False,False,True,0,True,False,fewer_than_40_strict_hn_pairs,False,False,False,False,False
1166,6715,1,1ZZA,1,1,1,78,78,1,0,0,1,True,False,True,60-79,True,True,eligible_for_structure_screen,False,False,True,False,False
1167,6716,1,1Z8S,1,1,1,129,129,1,0,0,1,True,False,True,100-149,True,True,eligible_for_structure_screen,False,False,True,False,False
1168,6717,1,1ZG2,1,1,1,92,92,1,0,0,1,True,False,True,80-99,True,True,eligible_for_structure_screen,False,False,True,False,False
1169,6718,1,1ZV6,1,1,1,62,62,1,0,0,1,True,False,True,60-79,True,True,eligible_for_structure_screen,False,False,True,False,False
117,4623,1,1E5C,1,1,1,84,84,1,0,0,1,True,False,True,80-99,True,True,eligible_for_structure_screen,False,False,True,False,False
1170,6720,1,1ZLC,1,1,1,0,0,0,0,0,1,False,False,True,0,True,False,fewer_than_40_strict_hn_pairs,False,False,False,False,False
1171,6721,2,1ZR7;2DYF,1,1,1,26,26,0,0,0,1,False,False,True,20-39,True,False,fewer_than_40_strict_hn_pairs,False,False,False,False,False
1172,6726,3,1ZXF;2GKD;2L65,1,1,1,143,143,1,0,0,1,True,False,True,100-149,True,True,eligible_for_structure_screen,False,False,True,False,False
1173,6727,1,2AJE,1,1,1,93,93,1,0,0,1,True,False,True,80-99,True,True,eligible_for_structure_screen,False,False,True,False,False
